제목,본문,목표가,투자의견,작성일,증권사
도약을 준비 중,"24년, ESL 부문 부진의 이유
동사는 2분기 매출액 3,939억원(YoY -25%), 영업이익 206억원(YoY -53%)을 기록했다. 상반기 실적이 전년 대비 부진한 이유는 ESL 판매 부진의 영향이다. ESL이 포함된 ICT 부문 상반기 매출액은 2,093억원으로 5,622억원을 기록한 전년 동기 대비 대폭 감소했다. 상반기 대비 반등이 예상되는 하반기 전망을 포함한 ICT 부문 연간 추정치도 4,609억원으로 전년 대비 40% 이상 감소할 것으로 예상된다. 주요 원인은 대형 리테일 향 수주 및 매출 인식의 지연이다. 23년까지 동사 ESL 부문은 시장 성장에 따른 수혜와 더불어 주요 리테일 고객의 대형 수주가 더해짐에 따라 가파른 성장을 이어왔다. 다만, 24년 예상된 대형 수주가 제품 스펙의 변화 등으로 지연되고 있는 것으로 파악된다. 구체적으로는 기존 주력인 3컬러 제품 대신 4컬러 제품으로의 스펙 변경과 이로 인한 설계 변경 및 품질 안정화에 시간이 걸린 것으로 추정된다. 즉, 24년 ESL 부문 부진의 이유가 시장 우려와 달리 ESL 시장의 성장 둔화로 연결 짓기에는 무리가 있다는 판단이다. 전자부품 부문의 경우 견조한 실적을 전망한다. TV 출하량 감소에도 적용 제품 다변화 및 고객사 확대 등으로 인한 영향이다. 이에 24년 실적은 매출액 1조 6,265억원(YoY -17%), 영업이익 895억원(YoY -42%)을 전망한다.","34,000",Buy,24.09.13,키움증권
람보르기니 콜라보로 보너스 공백 최소화,"WHAT’S THE STORY?
람보르기니 콜라보로 PC 배그 최대 매출: 7월 전 플랫폼에서 진행된 람보르기니 콜라보 이벤트가 좋은 반응을 얻으며 7~8월 트래픽과 매출 모두 2분기 대비 성장이 예상됨. 8월 스팀 최대 동접자는 2020년 이후 가장 높은 78만명을 기록하였으며, 7월 화평정영을 제외한 배틀그라운드 모바일의 월 매출은 6월 대비 47% 증가한 것으로 추정. 이는 6월 뉴진스 아이템 판매에서 환급된 무료 G-코인이 풀린 데다, 이중 가챠 시스템으로 과금 요소를 높인 람보르기니 아이템이 높은 인기를 끌었기 때문.","390,000",Buy,24.09.13,삼성증권
"3Q24 preview - 일회성으로 부진하나, 2H24 ..","WHAT’S THE STORY?
염소계열, EUDR 수혜 기대: ECH 스프레드는 2024년 1월 517달러에서 7월 345달러까지 하락한 후, 현재 442달러까지 회복. 다운스트림(에폭시 수지) 수요 부진에도 불구하고 유럽 삼림전용 방지 규정(European Union Deforestation-Free Products Regulation; 이하 EUDR) 시행을 앞두고 팜유 공급 타이트 우려로 글리세린 가격 상승으로부터 수혜. ECH는 프로필렌 기반 또는 글리세린 기반 제조공법으로 나뉘는데, 글리세린 가격 상승 시 원재료 대체재 위치에 있는 프로필렌 기반 ECH 업체의 스프레드 상승 가능. 즉, 현재 글리세린 상승에 따른 프로필렌 기반 ECH 스프레드 회복세. 여전히 적자 지속 중이나, 적자 폭 축소는 기대 가능. EUDR이 내년부터 본격화되는 만큼, 해당 영향은 내년에 보다 확대 예상.","60,000",Buy,24.09.13,삼성증권
"3Q24 일시적인 실적 둔화,  분위기 반전이 필..","투자의견 매수(BUY) 유지, 목표주가 100,000원으로 하향
삼성전자 목표주가를 110,000원에서 100,000원(25년 BPS에 멀티플 1.7배 적용)으로 하향. 3Q24 매출액과 영업이익은 각각 80.1조원(QoQ +8.1%), 10.1조원(QoQ 3.1%, OPM 13%)로 실적 추정치를 하향 조정함. 지난 2Q 대비 영업이익 감소 원인은 1) 스마트폰/PC 수요 개선 둔화, 2) 3Q24 DS 성과급 충당에 따른 일회성 비용 발생, 3) 재고평가손실 환입금 규모의 축소 등에 따른 영향임 DS 사업부 3Q24 영업이익은 5.3조원(QoQ -18%)로 추정, 1) 메모리 영업이익: DRAM 4.5조원(OPM 33%), NAND 1.1조원(OPM 12%), 2) 파운드리/LSI은 영업적자 -0.4조원으로 적자폭이 전분기 대비 확대 추정. 3Q24 MX 사업부 영업이익 2.5조원(QoQ +11.5%, YoY -25%)로 원가율 상승에 따른 영업이익 하향 조정","100,000",Buy,24.09.19,대신증권
"경쟁력 있는 CDMO, 여기에도 있다","북미 생물보안법 통과에 따른 SK팜테코 사업 기회 창출
중국 주요 바이오 기업과의 거래를 제한하는 ‘생물 보안법’이 미국 하원을 통과했다. 특히 이 과정에서 SK팜테코는 제제 대상이 된 우시바이오와 CGT CDMO (세포유전자 치료제 위탁생산, Cell Gene Therapy CDMO) 등에서 겹치는 사업 영역이 있어 새로운 기회가 열렸다. 이미 올해 4,5월부터 주요 글로벌 제약사들이 SK팜테코를 포함 비 중국계 CDMO 기업들을 적극적으로 찾은 것으로 알려진다.  SK팜테코는 CGT 계열뿐만 아니라 올리고 핵산, 항체약물 접합체 (ADC) 등을 25년 시범 생산, 26년부터 본격 상업 생산에 들어간다. 비만 치료제 수요에 대응하기 위해 GLP-1 등 펩타이드 분야에서도 CDMO 진출을 검토 중이다. 최근 미국 cGMP (제조 인증 시설)에서 6개월만에 스위스 페링 제약으로부터 방광암 유전자 치료제 위탁 생산 계약을 체결하는 등 긍정적인 성과를 기록 중이다.","220,000",매수,24.09.19,DS투자증권
미국 타워 판가도 인상,"미국향 타워 판가 인상
동사는 최근 미국 최대 고객사와의 육상 타워 판가(가공비) 인상을 완료한 것으로 파악된다. 고객사가 2023 년 하반기에 집중적으로 수주한 미국 물량이 내년부터 공급이 시작되기 때문에, 씨에스윈드 입장에서도 의미가 큰 협상이었다. 인상 폭을 감안하면 동사의 미국 공장 영업이익률(AMPC 제외)이 기존 대비 상향될 것으로 판단한다.2025 년부터 미국 타워 공장의 영업이익률도 완전 정상화될
확률이 높아진 것이다.","90,000",Buy,24.09.19,유진투자증권
환율 모멘텀 발생 예상. 자사주 추가 매입 가..,"3분기 순익 1.1조원으로 컨센서스 상회 전망. 원화 강세에 따른 모멘텀 발생도 예상
하나금융에 대한 투자의견 매수와 목표주가 82,000원을 유지. 3분기 추정 순익은 약 1.1조원으로 QoQ 2.9%, YoY 11.2% 증가해 컨센서스를 상회할 것으로 전망. 1) 3분기 중 원화대출이 -0.3% 역성장하고, NIM은 4bp 하락하면서 순이자이익은 전분기대비 감소할 것으로 예상되지만, 2) 금리와 환율 하락에 힘입은 유가증권관련익과 외화환산익 발생 등으로 비이자 이익이 큰폭 증가할 것으로 기대되기 때문. 3) 여기에 강화된 PF 사업성 평가 기준 결과 적용으로 비은행 부문에서 약 600억원 이상의 추가 충당금 적립 가능성이 있지만 경상 대손비용이 2천억원 후반에 그치면서 표면 대손비용도 3,500억원 내외에 불과할 것으로 추정됨. 한편 9월 미국 FOMC 회의에서 빅컷(금리 50bp 인하) 가능성이 커지면서 달러선물이 크게 하락하는 등 원/달러 환율이 추가로 하락할 가능성이 높아졌는데, 원화 강세는 외환환산익 발생 뿐만 아니라 NIM과 자본비율 등에서 긍정적인 영향을 미치기 때문에 은행업종내 대표적인 환율민감주인 하나금융에 상당한 반등 모멘텀으로 작용할 공산이 크다고 판단","82,000",Buy,24.09.19,하나증권
더딘 회복에도 지속될 증익 모멘텀,"하반기 업종 내 차별화된 수익성 지속
작년 4분기 저점으로 증익 추세 지속되고 있으며 하반기까지 모멘텀 유효할 전망. 그린소재는 견조한 시황 및 증설 효과 등으로 양호한 실적 기대. 케미칼은 ECH 가격 회복(글리세린 반등) 및 가성소다 강세(겨울철 전력비 증가)로 흑자 기조 나타날 전망","63,000",매수,24.09.19,신한투자증권
길어지고 있는 기다림,"중국 철강, 어려운 업황에 감산으로 대응 중
중국 철강은 9~10월을 금구은십(金九銀十)이라 할 만큼 계절적 성수기라는 인식 있어. 하지만 혹독한 6~8월을 지내며 금구은십에 대한 기대감 낮아. 수요 측면에서는 부동산 업황 부진이 부담으로 작용. 공급 측면에서는 최근 중국 정부가 구설비를 신설비로 치환하는 정책을 중단했으나 효과를 거두기까지는 상당한 시일이 걸릴 것으로 추정. 중국 7~8월 조강생산량이 2개월 연속 전월비 감소, 전년비 -9~-10% 감소했지만 제품가격은 하락. 9월 상순 고로업체 가동률이 '22~'23년보다 낮은 수준에 머무르고 있지만 조강생산량 감소 영향에 따른 원재료가격 하락이 제품가격에 부정적 영향 미쳐. 다만, 8월 이후 원재료가격 하락 폭이 제품가격 하락보다 상대적으로 크게 나타나며 스프레드는 제품에 따라 반등세를 보이는 중.","540,000",Buy,24.09.20,유안타증권
엘사,"투자의견 및 목표주가 유지
동사에 대한 투자의견 ‘매수’ 및 목표주가 260,000원을 유지한다. 당사는 최근의 주가 하락을 업황의 유의미한 변화 보다는 관성적 사고에 따른 급진적 수익 실현의 결과로 판단한다. 일부 레거시 응용의 재고 조정으로 3Q24 Bit 출하가 가이던스를 하회할 것으로 전망되나, 밸류에이션 목표치를 2.0배(기존 2.1배)로 소폭 하향하며 목표가도 변경하지 않는다. 안정적 HBM 수요에 기반해 25F OP 성장률(YoY +71%)은 지속될 것으로 판단하기 때문이다. 설령 겨울이 오더라도 가장 돋보일 수 있다.","260,000",매수,24.09.20,미래에셋증권
"빅파마들의 RPT 방향, 우리도 간다","투자의견 매수, 목표주가 13만원 유지
목표주가는 엑스코프리 매출 및 수노시 로열티 등을 기반으로한 DCF 밸류에이션을 통해 산출했다. RPT 파이프라인은 현재 동사 실적이나 파이프라인 가치에 반영할 단계는 아니다. 다만, RPT가 다른 모달리티 대비 상대적으로 경쟁 강도가 낮고, 현재 개발 방향성이 빅파마들의 RPT 개발 방향과 부합한다는 점에서 향후 임상 개발 및 성과에 주목할 필요가 있다.","130,000",매수,24.09.20,미래에셋증권
Moment of Truth,"구리 가격도 반등하고 방산도 좋은데… 주가만 빠진 상황
방산 부문 분할 등과 같은 펀더멘털 외적 변수로 인한 주가 하락으로 판단. 비중확대 의견 유지","87,000",매수,24.09.20,신한투자증권
2024년 3분기 부진 터널 통과해야!,"2024년 3분기 예상 적자 △87억원으로 약보합
2024년 3분기 예상 실적은 ‘매출액 7,417억원, 영업손실 △87억원(영업손실률 △1.2%), 지배 주주 순이익 △54억원’ 등이다. 영업손익은 전분기 △63억원에서 적자폭이 조금 더 늘어나는 수치이다. 범용 석화업황 회복이 더디게 진행되면서, NCC(나프타분해설비) 가동률은 85% 전후에 정체되어 있다. 게다가, 스페셜티 제품인 2차전지 분리막용 폴리에틸렌(습식용 분리막에 사용)/폴리프로필렌(건식용 분리막) 레진 판매량도 부진한 것으로 알려지고 있다. 주요 거래처인 중국 배터리업체에서 분리막 재고를 낮게 가져가려는 움직임이 커졌기 때문이다.","210,000",Buy,24.09.20,유안타증권
롯데렌탈의 쏘카 지분 추가취득 당분간 중단,"롯데렌탈의 SK와의 쏘카 주식매매계약은 연기
롯데렌탈은 최근 공시를 통해 SK와의 쏘카 주식 매매 계약(2차)이 연기되었음을 알렸다. 롯데렌탈의 카쉐어링 자회사 롯데렌터카 G car(그린카)의 지분 10%(롯데렌탈의 지분율은 84.71%)를 보유한 GS칼텍스가 롯데렌탈을 대상으로 쏘카 주식 추가 취득 금지 가처분 신청을 제기했고 승소했기 때문이다. 법원은 롯데렌탈의 쏘카 주식 취득이 경업금지 조항에 해당되고, 이 경우 GS칼텍스가 회복이 어려운 손해를 입을 것으로 판단했다. 따라서 롯데렌탈의 쏘카 주식 추가 취득은 당분간 어려울 것으로 예상한다.","40,000",Buy,24.09.20,하나증권
Re-rating 구간 돌입,"제약업종 Top pick, 목표주가 22 만원으로 상향
투자의견 BUY 유지, 목표주가 22 만원으로 상향(Target P/E 40 배로 상향 조정), 제약업종 Top pick 유지한다. 유한양행은 레이저티닙의 글로벌 판매뿐만 아니라 유망한 HIV 치료제 신약(선렌카로 추정) 원료를 장기 공급할 것으로 예상되면서 지속 가능한 성장에 대한 가시성이 높아진 국면에 진입하였다. Re-rating 구간에 진입했다고 판단한다. 레이저티닙 글로벌 판매뿐만 아니라 HIV 치료제 원료 신규 공급을 실적 추정에 반영하여 중장기 실적을 상향 조정하였으며, 더불어 기업 가치에 적용하는 투자 지표를 상향 조정함에 따라 목표주가를 상향한다. 목표주가는 레이저티닙의 성공적인 글로벌 상업화를 가정하여 2027 년 예상 순이익 5, 070 억원을 현가화(할인율 10%)한 값(4,190 억원)에 Target P/E 40 배를 적용한 영업가치 14.7 조원, 기타 신약 파이프라인 추정 가치 0.43 조원, 투자자 산 추정 가치 0.19 조원을 합산하여 산출하였다. 유한화학의 HIV 치료제 원료 의약품 공급계약 및 레이저티닙 예상 매출액 등을 중장기 실적에 반영하여 유한양행의 2027 년까지 실적 전망을 추정한 것을 도표 3~8 에 나타냈다.","220,000",Buy,24.09.23,유진투자증권
AI데이터센터 냉각 시장 공략,"칠러 사업을 기반으로 AI데이터센터 냉각 시장 공략
LG전자는 2030년 미래비전 제시를 통해 가전을 넘어 홈, 커머셜, 모빌리티, 가상공간 등 고객의 삶이 있는 다양한 공간에서 고객 경험을 연결하고 확장하는 스마트 라이프 솔루션 기업으로 구조적으로 변화를 밝힘. 매출 100조원, 매출 성장률 CAGR 7%, 영업이익률 7%, 기업가치 EV/EBITDA 멀티플 7배로 지속가능한 성과 비전을 제시.  그중에서도 동사의 냉난방공조 사업은 디지털화, 전기화 등 시장 변곡점에 맞추어 인버터, 히트펌프 등 기술력을 앞세워 고효율, 친환경 시장을 주도하고 있음. 최근 AI 데이터센터 수요 폭증에 칠러 등 냉각시스템 시장을 적극 공략하고 있으며 액침냉각 기술 개발도 준비중인 것으로 파악됨.  동사의 냉난방공조 제품은 긴 제품주기, 안정적 운영을 위한 서비스와 유지보수 점진적 증가로 3년 연평균 성장률 +15%, 해외매출은 2배 확대가 이어지고 있음. 향후 칠러 기반의 경험과 냉난방공조 사업의 고효율 고성능 기술 기반으로 냉각 시장 확대를 전망함.","130,000",Buy,24.09.23,교보증권
높아지는 Peak sales,"이라크 천궁-II (3.7조원) 수출계약 체결
동사는 9/20일 이라크 천궁-II (M-SAM-II) 수출계약을 체결했다. 계약규모는 3.7조원으로 언론에 노출되었던 3.5조원 대비 6% 상회했다. 이라크는 8개 포대를 구매, 그 중 3개 포대는 신속납기를 요청한 것으로 알려졌다. 다만, 당사는 1) 계약 세부내용 및 납품대수 등 사실확인이 어려운 점과 2) 진행률 인식을 감안하며 보수적으로 납기 7년, 매출인식 시작연도를 26년으로 설정했다. 따라서, UAE (24년~) → 사우디(25년~) → 이라크(26년~) 순으로 오버랩되면서 순차적 매출반영을 예상한다.","269,000",매수,24.09.23,미래에셋증권
3Q24 Preview: 국내 수주 강세 VS 중국 부진 ..,"3Q24 Preview: 국내 수주 강세 VS 중국 부진 심화
코스맥스의 3분기 실적은 연결 매출 5.3천억원(YoY+15%), 영업이익 449억원(YoY+35%, 영업이익률 9%)을 전망하며, 낮아진 시장 기대치를 무난하게 달성할 전망이다. 중국이 소비 부진 지속되며 코로나 수준의 매출 기록할 전망이나, K뷰티의 글로벌 확대 기조로 국내 매출 강세 나타나며 견조한 실적 시현할 것으로 기대된다.","190,000",Buy,24.09.23,하나증권
악재 감안해도 과도한 하락,"3Q24 Preview : 실적 추정치 하향 조정
3Q24 예상 영업이익을 10.4조원으로 추정. 기존 14조원에서 약 3.6조원 하향. 핵심 요인은 DS 부문 이익 추정치 하향 때문(기존 영업이익 추정치 8.4조원 → 5.4조원). 하향의 주요 근거는 DS 부문 성과급 관련 충당금 반영(1.5조원 내외 추정) 때문이나, 비메모리 적자 지속, 디램 출하 증가율 전망치 소폭 하향(기존 +2% → +1%), 메모리 재고평가손 환입 금액 축소, 환율 하락에 따른 부정적 환 효과 등이 복합적으로 이익률 훼손 요소로 작용했을 것으로 추정 그 외에도 MX 부문의 비수기 진입 및 당초 계획대비 저조한 신규 폴더블폰 판매량, SDC의 미국 고객 신규 플래그십 모델향 경쟁 심화 영향 등이 추정치 하향 요소로 작용","95,000",Buy,24.09.24,한화투자증권
레거시 수요 부진과 일회성 비용 반영,"3Q24 Preview: OP 10.3조원 전망
삼성전자 3Q24 매출액 79.9조원(+7.8% QoQ, +18.5% YoY), 영업이익 10.3조원(-1.1% QoQ, +324.4% YoY)으로 전망한다. 3분기 실적에 대한 당사 기존 추정치를 매출액과 영업이익 각각 -4%, -20% 하향 조정하며 시장 컨센서스 11.7조원 역시 하회할 것으로 전망한다. 매출액 대비 영업이익을 큰 폭으로 하향 조정하는 이유는 1) 3분기 PS(성과급) 약 1.5조원이 일회성으로 반영되며, 2) 재고평가손실 충당금 환입 규모가 2분기 대비 줄어들 것으로 전망하기 때문이다. DRAM B/G는 3분기 전분기 대비 -1%, ASP는 9% 증가할 것으로 추정하며 NAND는 B/G -4%와 ASP 6% 증가할 것으로 추정한다. 사업부별 영업이익은 DS 5.6조원, DX 3.1조원, SDC 1.3조원, Harman 0.3조원으로 세부 추정하였다.","93,000",매수,24.09.24,DS투자증권
HBM은 타격 없음,"3Q24 Preview: OP 6.5조원 전망
SK하이닉스 3Q24 매출액 17.8조원(+8% QoQ, +96% YoY), 영업이익 6.5조원(+19% QoQ, 흑자전환 YoY)으로 전망한다. 3분기 실적에 대한 당사 기존 추정은 유지하나 시장 컨센서스 6.9조원을 소폭 하회할 것으로 전망한다. DRAM B/G는 3분기 전분기 대비 2%, ASP는 10% 증가할 것으로 추정하며 NAND는 B/G -4%와 ASP 8% 증가할 것으로 추정한다. 3Q24 Bit 출하량은 DRAM과 NAND 모두 2분기 대비 감소할 전망이나 전방 IT 세트 수요에 대한 불확실성이 증가할수록 HBM과 서버용 DDR5 위주 포트폴리오를 구축한 동사 실적이 비교적 견조할 것이라는 의견을 유지한다.","290,000",매수,24.09.24,DS투자증권
전기 요금 인상 무산에도 실적 개선 추세는 ..,"또 다시 무산된 전기 요금 인상
언론에서 따르면 한국전력은 4Q24 적용될 연료비 조정단가를 현재와 같은 +5원/Kwh으로 유지했따. 언론에 따르면, 최근 유가하락 등으로 연료비 조정단가가 -6.4원/KWh으로 산정되었으나, 한국전력의 재무상황을 고려해 요금을 현상 유지한 것으로 알려졌다. 전기요금을 결정하는 산업동상지원부는 한전의 재무상황과 연료비조정요금 미조정액이 상당한 점등을 고려해 2분기와 동일하게 5원/kWh을 유지한 것으로 보인다.",,매수,24.09.24,미래에셋증권
사지 않을 이유가 없다,"투자의견 BUY, 목표주가 750,000원 유지
8월 라면 수출 데이터 부진과 원/달러 하락으로 주가 조정이 나타났으나 9월 라면 수출 성장세 회복. 8월 수출 부진은 일시적이었다는 판단. 중국/미국 수출은 여전히 견조하며 유럽향 수출이 크게 증가하면서 연내 네덜란드 법인 설립 예정 25년 5월 2공장 완공 시 동사 CAPA는 기존 약 18억개에서 25억개까지 확대. 현재 수요 대비 공급이 부족한 상황으로, 고단가 지역 중심으로 핵심 SKU 2종(오리지날/까르보) 중심으로 공급 중. CAPA 확대 이후 유럽, 중동 등으로 지역 확대와 현지 입맛을 고려한 SKU 다변화 예상. 밀양 2공장은 1공장 대비 초기 가동률이 빠르게 올라올 것으로 예상되어 내년 하반기부터 다시 한번 큰 폭의 외형성장이 가능할 전망. 최근 주가 조정으로 밸류에이션 부담도 낮아진 상황으로 조정시마다 매수 기회라고 판단","750,000",Buy,24.09.24,대신증권
PER 10배를 향해,"목표주가 114,000 원으로 상향
메리츠금융지주의 목표주가를 1) 우려 대비 양호한 PF 관련 부담, 2) 금리 하락에 따른 증권 자회사 실적 개선 등에 기반한 실적 전망 상향 및 3) 해약환급금준비금 이슈로 주주환원 제약이 존재하는 다른 보험사와 달리 증권 자회사 배당을 활용할 수 있다는 강점 등을 반영하여 114,000 원으로 상향한다. 목표주가는 24E BVPS 52,286 원에 Target PBR 2.19 배를 적용했으며 목표주가 기준 24E PER 은 약 9.4 배에 달한다.","114,000",매수,24.09.24,SK증권
환율과 배당에 기반한 매력 확대,"환율 환경 변화에 따른 실적 및 자본비율 개선 기대
하나금융지주는 과거 외환은행 합병 이후 대형 은행 중 가장 환율에 민감한 모습을 보여왔다. 환율 변동에 따라 비화폐성 환차손익(환율 10원당 약 100억~120억원 내외)이 발생함에 따라 이익 측면의 영향이 나타나는 동시에 CET1비율 측면에서도 환율 관련 영향(환율 100 원당 약 25bp)이 나타나고 있기 때문이다. 동사가 Target CET1 비율에 있어 환율 버퍼 약 0.5%를 반영하고 있는 점 역시 약 200 원 수준의 환율 변동을 감안하고 있는데 기인한다. 따라서 6 월 말 기준 1,380 원대 수준까지 상승한 환율이 최근 미국 금리 인하 등 영향으로 1,320~1,330 원대 수준까지 하락하는 모습이 나타난 최근 환율 환경은 동사에 있어 전반적으로 긍정적이라고 판단한다. 3Q24 의 경우 비화폐성 환차익 약 500 억~600 억원 정도가 반영될 것으로 예상되며 CET1 비율도 무난하게 13%를 상회할 수 있을 전망이다.","78,000",매수,24.09.24,SK증권
안정적인 배전에서 송전과  미국으로 성장회..,"투자의견 '매수', 목표주가 210,000원로 커버리지 개시
LS일렉트릭에 대해 투자의견 '매수', 목표주가 210,000원으로 커버리지를 개시. 목표주가는 3Q24F ~ 2Q25F 실적에 목표 PER 27배(글로벌 전력기기업체의 평균 PER)을 적용함. 목표주가는 2026F 실적 기준 PER 18배('09 ~ '23년 평균 PER)에 해당. '26년은 1) 변압기 증설 실적 온기 반영, 2) 1H24 대규모 배터리 재고손실이 발생한 LS에너지솔루션(미국 ESS 판매법인)의 수익성 정상화, 3) 미국 배전반 생산능력 증설, 배전기기 유통망 구축 효과 등에 따른 미국 홀딩스의 실적 개선 등이 모두 반영되는 해임","210,000",Buy,24.09.24,대신증권
가장 안정적인 방어주,"실적 흐름 측면의 안정성을 찾아가는 중
코리안리의 1H24 누적 순이익은 1,554 억원(-42.2% YoY)로 다소 크게 감소하는 모습이 나타났다. 다만 이러한 이익 감소는 실질적인 이익체력 측면의 이슈가 아닌 단순한 이익 인식 기준 변화에 따른 영향으로 기존 경과율 가정에서 상반기 중 이익 쏠림이 과도하게 나타남에 따라 이를 평탄화하는 방향으로 가정을 조정하고 있는데 기인한다. 동사의 경우 PAA 모형을 사용하는 부채 비중이 높아 이론적으로 IFRS4 와 IFRS17 실적 간 괴리가 크지 않은 것으로 알려져 있으며 실제로 23 년 연간 순이익은 IFRS17 2,875 억원, IFRS4 2,612 억원으로 유사한 수준을 기록했다. 다만 1H23 기준으로는 IFRS17 2,687 억원, IFRS4 1,551 억원을 인식함에 따라 상반기 중 인식한 이익이 다소 과도하게 쏠려있음을 확인할 수 있다. 24 년에는 이익 인식 기준을 균등하게 조정하고 있으며 IFRS4 기준 1H24 누계 순이익이 1H23 1,554 억원 대비 개선세가 나타난 것으로 추정되는 만큼 실제 이익 체력은 견조한 흐름이 이어지고 있다고 판단한다.","11,000",매수,24.09.24,SK증권
OLED 중심의 사업 구조 전환 순항 중,"3Q24 영업이익 -530억원, 당사 예상치 부합할 전망
3Q24 연결 매출액 7조 2,604억원(+8% QoQ, +52% YoY), 영업이익 -530억원(적자지속 QoQ/YoY)으로 당사 추정치에 부합할 것으로 예상된다. 원/달러 환율이 예상치를 하회하고 있음에도 불구하고 아이폰 16 시리즈용 POLED 패널 공급 본격화 및 WOLED 패널 출하량의 성장에 힘입어 실적 개선이 나타날 것이다. 특히 신규 플래그십용 POLED 양산이 적기에 진행되며 2H24 실적 개선을 주도할 것으로 판단된다. 당사는 동사의 2H24 POLED 패널 출하량이 약 4,500만대(+34%YoY)를 기록할 것으로 전망한다. 한편 기존 예상과 같이 3Q24에 인력 효율화 관련 일회성 비용이 반영될 전망이며, 이를 제외하면 약 1,200억원 수준의 영업이익을 기록했을 것으로 추정된다.","16,000",Buy,24.09.24,키움증권
아웃퍼폼 지속을 전망하는 이유,"세 개의 관전포인트
아래와 같은 3가지 관점에서 LG전자의 섹터 내 아웃퍼폼을 전망하며, 10년 평균 12MF P/E 9.5배를 타겟팅한 목표주가 15만원을 유지한다.
① 펀더멘털 개선: 회사는 구독가전, WebOS, HVAC 등 신규 비즈니스 모델을 통해 이익 체력을 개선하고 있다. SDV 전환과 맞물린 CID, 디지털 콕핏의 고도화 역시 좋은 투자 포인트다. 이러한 ‘포트폴리오 전환 영역’이 차지하는 매출 비중은 ‘21년 28%, ‘24년 39%, ‘30년 52%로 빠르게 확대될 전망이다[그림6].
② 달러약세 방어: LG전자와 같은 세트 업체는 부품 업체 대비 달러 약세를 방어할 수 있다. 2023년 기준 전사 매출의 26%가 북미에서 발생하였다. 나머지 74%의 매출에 대해서는 원화, 유로화 등 이종 통화를 통해 결제된다는 의미다. 반면 패널, 구리, 레진, 철강 등 주요 원재료는 달러로 매입한다. 즉, 매출에서의 달러 노출은 제한적인 반면 원가에서의 노출은 높은 편인 것이다. 이를 방증하듯, 지난 10년 간 국내 주요 IT업체들의 주가와 달러인덱스의 상관관계를 보면 LG전자의 값이 가장 낮음은 물론, 유일하게 음수임을 알 수 있다. (LGE -0.1, SEMCO 0.1, SEC 0.3, SKH 0.4, LGIT 0.6 등)
③ 기업가치 제고와 주주환원: 동사는 8/21 전자 공시를 통해 4분기 중 기업 가치 제고 계획 발표를 예고한 바 있다. 아울러 DPS 개선도 기대된다. 올해 지분법 대상인 LG디스플레이의 이익개선과 함께 지배주주순이익이 대폭 개선될 전망이기 때문이다. 당사 예상 DPS 기준 시가 배당률은 2.5%다. 기업가치 제고 계획과 주주환원을 감안할때, LG전자 우선주에 관심을 가져보는 것도 좋은 대안일 수 있다.","150,000",Buy,24.09.25,iM증권
8월 Re: 곧 성수기 시즌 온다,"8월 Re: 곧 성수기 시즌 온다
8월 법인별 단순 합산 매출액 및 영업이익은 각각 2,652억원(YoY 0.2%), 491억원(YoY -8.9%, OPM -1.9%p) 시현. 이익은 중국 판관비 집행 증가로 부진. 11월부터 성수기 시즌(춘절/뗏/크리스마스) 진입함에 따라 하반기 갈수록 실적 모멘텀 부각 전망.
① [한국] 매출액 905억원(YoY -1.5%), 영업이익 152억원(YoY 2.7%, OPM +0.7%p) 시현. MT채널 2.4% (할인점 -10%, 편의점 +10, 이커머스 +11%), TT채널 -7% 거래처 폐점 및 객수 감소 영향으로 역성장. 국내는 소비 위축 및 TT 채널 폐점 확대로 영업환경 부정적 이었음. 다만, 9월은 추석 물량 출고 확대로 영업환경은 MoM 개선된 것으로 파악. 제품별로는 파이 -7%(전년 기저 영향), 비스킷 +3%, 스낵 -6%(고할인 제품 축소). 수출은 미국/중국/일본 거래처 확대로 70억원(YoY 16%) 시현. 제조원가율은 +0.2%p 상승. 판관비율은 PS성과급 적립 감소로 -0.6%p 하락.
② [중국] 매출액 1,097억원(YoY -3.5%, 로컬기준 -7%), 영업이익 217억원(YoY 23.9%, OPM -5.3%p) 시현. 대형마트 경소상 간접 판매 전환 및 온라인/벌크 채널 경소상 교체에 따른 매출 공백 -70억원. 제품별로는 파이 -6%, 비스킷 -19%(전년 기저 영향), 스낵 +1.5%, 젤리 -19% 시현. 현재 대형마트 간접 영업 전환 90% 완료, 2개 채널(월마트, 메트로) 간접 영업 전환이 남은 상황. 4분기 국경절/춘절 성수기 진입 전 나머지 채널도 전환 목표. 제조원가율은 원재료 하락에도, 생산량 감소 영향으로 +0.7%p 증가. 판관비율은 매대 확대를 위한 판촉 수수료 증가 및 영업 인원 효율화 보상금으로 +2.8%p 상승.
③ [베트남] 매출액 430억원(YoY 2.9%, 로컬기준 5%) 영업이익 90억원(YoY 9.8%, OPM +1.3%p) 시현. 파이 +19%( TT 채널 전용 제품 출시 효과), 스낵 +6%(신제품 효과), 젤리 +15%, 유음료 5억원. 하반기는 뗏 성수기 대비해 영업 강화 목표. 채널별 전용 제품 확대 운영 및 신제품 분포 확대 목표 중. 매출원가율 -0.8%p, 판관비율 0.5%p 하락.","130,000",Buy,24.09.25,교보증권
